"Site","Year","Month","Amount"
"ROUND ROCK",2017,6,1.27
"ROUND ROCK",2017,7,24.13
"ROUND ROCK",2017,8,17.78
"ROUND ROCK",2017,9,20.066
"ROUND ROCK",2017,10,8.128
"ROUND ROCK",2017,11,1.27
"ROUND ROCK",2017,12,3.048
"ROUND ROCK",2017,1,24.638
"ROUND ROCK",2017,2,8.382
"ROUND ROCK",2017,3,14.478
"SEVEN LAKES",2017,4,8.636
"SEVEN LAKES",2017,5,24.892
"SEVEN LAKES",2017,6,8.128
"SEVEN LAKES",2017,7,30.48
"SEVEN LAKES",2017,8,62.23
"SEVEN LAKES",2017,9,4.318
"SEVEN LAKES",2017,10,43.942
"SEVEN LAKES",2017,11,4.318
"SEVEN LAKES",2017,12,2.54
"SEVEN LAKES",2017,1,29.718
"SEVEN LAKES",2017,2,17.78
"SEVEN LAKES",2017,3,9.144
"SHEEP SPRINGS WX",2017,4,21.59
"SHEEP SPRINGS WX",2017,5,19.812
"SHEEP SPRINGS WX",2017,6,8.382
"SHEEP SPRINGS WX",2017,7,30.988
"SHEEP SPRINGS WX",2017,8,7.62
"SHEEP SPRINGS WX",2017,9,27.94
"SHEEP SPRINGS WX",2017,10,0.508
"SHEEP SPRINGS WX",2017,11,0
"SHEEP SPRINGS WX",2017,12,0
"SHEEP SPRINGS WX",2017,1,36.322
"SHEEP SPRINGS WX",2017,2,34.798
"SHEEP SPRINGS WX",2017,3,3.81
"SHIPROCK IRRIGATION",2017,4,15.748
"SHIPROCK IRRIGATION",2017,5,32.512
"SHIPROCK IRRIGATION",2017,6,0.508
"SHIPROCK IRRIGATION",2017,7,16.002
"SHIPROCK IRRIGATION",2017,8,11.43
"SHIPROCK IRRIGATION",2017,9,11.684
"SHIPROCK IRRIGATION",2017,10,10.668
"SHIPROCK IRRIGATION",2017,11,1.27
"SHIPROCK IRRIGATION",2017,12,1.524
"SHIPROCK IRRIGATION",2017,1,22.352
"SHIPROCK IRRIGATION",2017,2,18.288
"SHIPROCK IRRIGATION",2017,3,9.652
"SMITH LAKE",2017,4,13.462
"SMITH LAKE",2017,5,11.938
"SMITH LAKE",2017,6,0
"SMITH LAKE",2017,7,16.002
"SMITH LAKE",2017,8,43.942
"SMITH LAKE",2017,9,62.738
"SMITH LAKE",2017,10,22.352
"SMITH LAKE",2017,11,2.286
"SMITH LAKE",2017,12,0
"SMITH LAKE",2017,1,17.78
"SMITH LAKE",2017,2,17.78
"SMITH LAKE",2017,3,14.478
"STANDING ROCK - JUDY W",2017,4,16.51
"STANDING ROCK - JUDY W",2017,5,12.7
"STANDING ROCK - JUDY W",2017,6,2.54
"STANDING ROCK - JUDY W",2017,7,38.1
"STANDING ROCK - JUDY W",2017,8,26.67
"STANDING ROCK - JUDY W",2017,9,7.62
"STANDING ROCK - JUDY W",2017,10,48.26
"STANDING ROCK - JUDY W",2017,11,2.54
"STANDING ROCK - JUDY W",2017,12,0.254
"STANDING ROCK - JUDY W",2017,1,18.796
"STANDING ROCK - JUDY W",2017,2,5.334
"STANDING ROCK - JUDY W",2017,3,17.78
"STEAMBOAT",2017,4,18.288
"STEAMBOAT",2017,5,18.288
"STEAMBOAT",2017,6,12.446
"STEAMBOAT",2017,7,41.656
"STEAMBOAT",2017,8,80.772
"STEAMBOAT",2017,9,9.398
"STEAMBOAT",2017,10,0.508
"STEAMBOAT",2017,11,0
"STEAMBOAT",2017,12,0
"STEAMBOAT",2017,1,24.638
"STEAMBOAT",2017,2,9.144
"STEAMBOAT",2017,3,35.56
"SUMMIT SOUTH",2017,4,6.35
"SUMMIT SOUTH",2017,5,29.21
"SUMMIT SOUTH",2017,6,0.762
"SUMMIT SOUTH",2017,7,34.29
"SUMMIT SOUTH",2017,8,74.93
"SUMMIT SOUTH",2017,9,13.97
"SUMMIT SOUTH",2017,10,4.572
"SUMMIT SOUTH",2017,11,7.62
"SUMMIT SOUTH",2017,12,0
"SUMMIT SOUTH",2017,1,60.96
"SUMMIT SOUTH",2017,2,13.97
"SUMMIT SOUTH",2017,3,46.99
"SUMMIT WX",2017,4,26.416
"SUMMIT WX",2017,5,28.448
"SUMMIT WX",2017,6,0.762
"SUMMIT WX",2017,7,67.818
"SUMMIT WX",2017,8,97.282
"SUMMIT WX",2017,9,39.116
"SUMMIT WX",2017,10,0.762
"SUMMIT WX",2017,11,1.778
"SUMMIT WX",2017,12,0
"SUMMIT WX",2017,1,49.53
"SUMMIT WX",2017,2,10.16
"SUMMIT WX",2017,3,29.972
"TOADINDAASKA MESA",2017,4,1.778
"TOADINDAASKA MESA",2017,5,29.718
"TOADINDAASKA MESA",2017,6,3.302
"TOADINDAASKA MESA",2017,7,79.248
"TOADINDAASKA MESA",2017,8,37.592
"TOADINDAASKA MESA",2017,9,3.048
"TOADINDAASKA MESA",2017,10,21.082
"TOADINDAASKA MESA",2017,11,0
"TOADINDAASKA MESA",2017,12,1.27
"TOADINDAASKA MESA",2017,1,24.13
"TOADINDAASKA MESA",2017,2,27.94
"TOADINDAASKA MESA",2017,3,27.432
"TOADLENA FISH HATCHERY",2017,4,52.324
"TOADLENA FISH HATCHERY",2017,5,35.306
"TOADLENA FISH HATCHERY",2017,6,2.794
"TOADLENA FISH HATCHERY",2017,7,33.528
"TOADLENA FISH HATCHERY",2017,8,17.272
"TOADLENA FISH HATCHERY",2017,9,35.56
"TOADLENA FISH HATCHERY",2017,10,1.778
"TOADLENA FISH HATCHERY",2017,11,0.762
"TOADLENA FISH HATCHERY",2017,12,1.524
"TOADLENA FISH HATCHERY",2017,1,82.55
"TOADLENA FISH HATCHERY",2017,2,48.26
"TOADLENA FISH HATCHERY",2017,3,1.524
"TODACHIENY LAKE",2017,4,33.02
"TODACHIENY LAKE",2017,5,37.592
"TODACHIENY LAKE",2017,6,0
"TODACHIENY LAKE",2017,7,39.37
"TODACHIENY LAKE",2017,8,13.97
"TODACHIENY LAKE",2017,9,38.862
"TODACHIENY LAKE",2017,10,0
"TODACHIENY LAKE",2017,11,7.112
"TODACHIENY LAKE",2017,12,0.508
"TODACHIENY LAKE",2017,1,119.38
"TODACHIENY LAKE",2017,2,27.94
"TODACHIENY LAKE",2017,3,68.58
"TOHATCHI MEADOW",2017,4,21.59
"TOHATCHI MEADOW",2017,5,34.798
"TOHATCHI MEADOW",2017,6,0
"TOHATCHI MEADOW",2017,7,103.886
"TOHATCHI MEADOW",2017,8,14.224
"TOHATCHI MEADOW",2017,9,23.876
"TOHATCHI MEADOW",2017,10,2.032
"TOHATCHI MEADOW",2017,11,5.588
"TOHATCHI MEADOW",2017,12,0
"TOHATCHI MEADOW",2017,1,85.09
"TOHATCHI MEADOW",2017,2,54.61
"TOHATCHI MEADOW",2017,3,22.86
"TOHTSO",2017,4,41.402
"TOHTSO",2017,5,37.846
"TOHTSO",2017,6,2.54
"TOHTSO",2017,7,55.88
"TOHTSO",2017,8,20.32
"TOHTSO",2017,9,30.48
"TOHTSO",2017,10,2.54
"TOHTSO",2017,11,2.54
"TOHTSO",2017,12,2.54
"TOHTSO",2017,1,53.34
"TOHTSO",2017,2,30.48
"TOHTSO",2017,3,31.75
"TORREON FIRE STATION",2017,4,16.002
"TORREON FIRE STATION",2017,5,17.78
"TORREON FIRE STATION",2017,6,3.81
"TORREON FIRE STATION",2017,7,8.382
"TORREON FIRE STATION",2017,8,44.958
"TORREON FIRE STATION",2017,9,3.048
"TORREON FIRE STATION",2017,10,68.834
"TORREON FIRE STATION",2017,11,0
"TORREON FIRE STATION",2017,12,0.508
"TORREON FIRE STATION",2017,1,36.322
"TORREON FIRE STATION",2017,2,12.7
"TORREON FIRE STATION",2017,3,11.176
"TSAILE CANYON",2017,4,49.53
"TSAILE CANYON",2017,5,36.83
"TSAILE CANYON",2017,6,2.794
"TSAILE CANYON",2017,7,83.566
"TSAILE CANYON",2017,8,7.112
"TSAILE CANYON",2017,9,33.02
"TSAILE CANYON",2017,10,0
"TSAILE CANYON",2017,11,1.778
"TSAILE CANYON",2017,12,2.032
"TSAILE CANYON",2017,1,97.79
"TSAILE CANYON",2017,2,20.32
"TSAILE CANYON",2017,3,71.12
"TSAILE SNOW COURSE  # 1",2017,4,72.39
"TSAILE SNOW COURSE  # 1",2017,5,43.18
"TSAILE SNOW COURSE  # 1",2017,6,0
"TSAILE SNOW COURSE  # 1",2017,7,60.452
"TSAILE SNOW COURSE  # 1",2017,8,6.858
"TSAILE SNOW COURSE  # 1",2017,9,31.242
"TSAILE SNOW COURSE  # 1",2017,10,5.08
"TSAILE SNOW COURSE  # 1",2017,11,7.62
"TSAILE SNOW COURSE  # 1",2017,12,5.842
"TSAILE SNOW COURSE  # 1",2017,1,142.24
"TSAILE SNOW COURSE  # 1",2017,2,20.32
"TSAILE SNOW COURSE  # 1",2017,3,83.82
"TSAILE SNOW COURSE  # 3",2017,4,71.12
"TSAILE SNOW COURSE  # 3",2017,5,38.608
"TSAILE SNOW COURSE  # 3",2017,6,0.508
"TSAILE SNOW COURSE  # 3",2017,7,137.922
"TSAILE SNOW COURSE  # 3",2017,8,25.4
"TSAILE SNOW COURSE  # 3",2017,9,2.54
"TSAILE SNOW COURSE  # 3",2017,10,5.842
"TSAILE SNOW COURSE  # 3",2017,11,9.398
"TSAILE SNOW COURSE  # 3",2017,12,4.572
"TSAILE SNOW COURSE  # 3",2017,1,139.7
"TSAILE SNOW COURSE  # 3",2017,2,91.44
"TSAILE SNOW COURSE  # 3",2017,3,25.4
"TUBA CITY O&M",2017,4,0
"TUBA CITY O&M",2017,5,10.668
"TUBA CITY O&M",2017,6,0
"TUBA CITY O&M",2017,7,33.274
"TUBA CITY O&M",2017,8,3.81
"TUBA CITY O&M",2017,9,10.16
"TUBA CITY O&M",2017,10,0.508
"TUBA CITY O&M",2017,11,0
"TUBA CITY O&M",2017,12,0.508
"TUBA CITY O&M",2017,1,22.098
"TUBA CITY O&M",2017,2,17.78
"TUBA CITY O&M",2017,3,27.178
"VANDERWAGON O&M",2017,4,19.558
"VANDERWAGON O&M",2017,5,41.656
"VANDERWAGON O&M",2017,6,3.81
"VANDERWAGON O&M",2017,7,33.782
"VANDERWAGON O&M",2017,8,57.15
"VANDERWAGON O&M",2017,9,60.198
"VANDERWAGON O&M",2017,10,0
"VANDERWAGON O&M",2017,11,1.778
"VANDERWAGON O&M",2017,12,0.254
"VANDERWAGON O&M",2017,1,27.432
"VANDERWAGON O&M",2017,2,29.718
"VANDERWAGON O&M",2017,3,29.972
"VICENTI SPRING",2017,4,43.18
"VICENTI SPRING",2017,5,38.862
"VICENTI SPRING",2017,6,7.62
"VICENTI SPRING",2017,7,69.85
"VICENTI SPRING",2017,8,18.796
"VICENTI SPRING",2017,9,23.114
"VICENTI SPRING",2017,10,0
"VICENTI SPRING",2017,11,2.286
"VICENTI SPRING",2017,12,2.54
"VICENTI SPRING",2017,1,92.202
"VICENTI SPRING",2017,2,58.166
"VICENTI SPRING",2017,3,14.732
"WARPATH VALLEY",2017,4,10.16
"WARPATH VALLEY",2017,5,20.32
"WARPATH VALLEY",2017,6,0
"WARPATH VALLEY",2017,7,21.336
"WARPATH VALLEY",2017,8,52.832
"WARPATH VALLEY",2017,9,7.62
"WARPATH VALLEY",2017,10,16.51
"WARPATH VALLEY",2017,11,1.27
"WARPATH VALLEY",2017,12,1.778
"WARPATH VALLEY",2017,1,36.83
"WARPATH VALLEY",2017,2,26.67
"WARPATH VALLEY",2017,3,33.528
"WHEATFIELDS WX",2017,4,20.574
"WHEATFIELDS WX",2017,5,33.02
"WHEATFIELDS WX",2017,6,5.842
"WHEATFIELDS WX",2017,7,39.116
"WHEATFIELDS WX",2017,8,38.354
"WHEATFIELDS WX",2017,9,31.75
"WHEATFIELDS WX",2017,10,1.27
"WHEATFIELDS WX",2017,11,0
"WHEATFIELDS WX",2017,12,0.508
"WHEATFIELDS WX",2017,1,68.58
"WHEATFIELDS WX",2017,2,7.112
"WHEATFIELDS WX",2017,3,44.958
"WHISKEY CREEK SC",2017,4,43.688
"WHISKEY CREEK SC",2017,5,45.72
"WHISKEY CREEK SC",2017,6,0.762
"WHISKEY CREEK SC",2017,7,88.646
"WHISKEY CREEK SC",2017,8,12.192
"WHISKEY CREEK SC",2017,9,22.86
"WHISKEY CREEK SC",2017,10,10.414
"WHISKEY CREEK SC",2017,11,5.08
"WHISKEY CREEK SC",2017,12,0
"WHISKEY CREEK SC",2017,1,111.76
"WHISKEY CREEK SC",2017,2,27.94
"WHISKEY CREEK SC",2017,3,55.372
"WHITE CLAY",2017,4,31.75
"WHITE CLAY",2017,5,28.956
"WHITE CLAY",2017,6,0.762
"WHITE CLAY",2017,7,44.45
"WHITE CLAY",2017,8,59.182
"WHITE CLAY",2017,9,38.608
"WHITE CLAY",2017,10,0
"WHITE CLAY",2017,11,1.27
"WHITE CLAY",2017,12,0
"WHITE CLAY",2017,1,74.93
"WHITE CLAY",2017,2,14.986
"WHITE CLAY",2017,3,86.614
"WIDE RUINS WX",2017,4,14.478
"WIDE RUINS WX",2017,5,14.732
"WIDE RUINS WX",2017,6,0.508
"WIDE RUINS WX",2017,7,21.336
"WIDE RUINS WX",2017,8,33.274
"WIDE RUINS WX",2017,9,15.494
"WIDE RUINS WX",2017,10,3.556
"WIDE RUINS WX",2017,11,0.508
"WIDE RUINS WX",2017,12,3.048
"WIDE RUINS WX",2017,1,28.702
"WIDE RUINS WX",2017,2,8.128
"WIDE RUINS WX",2017,3,40.132
"WIND ROCK VALLEY",2017,4,11.938
"WIND ROCK VALLEY",2017,5,31.75
"WIND ROCK VALLEY",2017,6,0.508
"WIND ROCK VALLEY",2017,7,67.31
"WIND ROCK VALLEY",2017,8,33.02
"WIND ROCK VALLEY",2017,9,9.652
"WIND ROCK VALLEY",2017,10,21.082
"WIND ROCK VALLEY",2017,11,0.508
"WIND ROCK VALLEY",2017,12,5.334
"WIND ROCK VALLEY",2017,1,57.658
"WIND ROCK VALLEY",2017,2,31.75
"WIND ROCK VALLEY",2017,3,28.194
"WOODSPRINGS WX",2017,4,20.574
"WOODSPRINGS WX",2017,5,23.368
"WOODSPRINGS WX",2017,6,0
"WOODSPRINGS WX",2017,7,46.228
"WOODSPRINGS WX",2017,8,59.182
"WOODSPRINGS WX",2017,9,22.86
"WOODSPRINGS WX",2017,10,6.858
"WOODSPRINGS WX",2017,11,0
"WOODSPRINGS WX",2017,12,0
"WOODSPRINGS WX",2017,1,28.702
"WOODSPRINGS WX",2017,2,23.876
"WOODSPRINGS WX",2017,3,38.1
"BEAUTIFUL MOUNTAIN",2016,4,16.51
"BEAUTIFUL MOUNTAIN",2016,5,20.32
"BEAUTIFUL MOUNTAIN",2016,6,1.27
"BEAUTIFUL MOUNTAIN",2016,7,24.13
"BEAUTIFUL MOUNTAIN",2016,8,40.64
"BEAUTIFUL MOUNTAIN",2016,9,10.16
"BEAUTIFUL MOUNTAIN",2016,10,14.478
"BEAUTIFUL MOUNTAIN",2016,11,5.588
"BEAUTIFUL MOUNTAIN",2016,12,26.162
"BEAUTIFUL MOUNTAIN",2016,1,6.35
"BEAUTIFUL MOUNTAIN",2016,2,8.128
"BEAUTIFUL MOUNTAIN",2016,3,0.762
"BEAVER SPRINGS SC",2016,4,27.94
"BEAVER SPRINGS SC",2016,5,31.75
"BEAVER SPRINGS SC",2016,6,5.08
"BEAVER SPRINGS SC",2016,7,48.26
"BEAVER SPRINGS SC",2016,8,63.5
"BEAVER SPRINGS SC",2016,9,22.86
"BEAVER SPRINGS SC",2016,10,43.18
"BEAVER SPRINGS SC",2016,11,30.734
"BEAVER SPRINGS SC",2016,12,93.726
"BEAVER SPRINGS SC",2016,1,55.88
"BEAVER SPRINGS SC",2016,2,20.574
"BEAVER SPRINGS SC",2016,3,27.686
"BIRD SPRINGS",2016,4,29.718
"BIRD SPRINGS",2016,5,1.27
"BIRD SPRINGS",2016,6,0
"BIRD SPRINGS",2016,7,8.89
"BIRD SPRINGS",2016,8,19.05
"BIRD SPRINGS",2016,9,13.97
"BIRD SPRINGS",2016,10,9.398
"BIRD SPRINGS",2016,11,7.112
"BIRD SPRINGS",2016,12,31.75
"BIRD SPRINGS",2016,1,0
"BIRD SPRINGS",2016,2,10.16
"BIRD SPRINGS",2016,3,3.302
"BITTER SPRINGS",2016,4,21.082
"BITTER SPRINGS",2016,5,11.43
"BITTER SPRINGS",2016,6,0
"BITTER SPRINGS",2016,7,15.24
"BITTER SPRINGS",2016,8,39.37
"BITTER SPRINGS",2016,9,15.24
"BITTER SPRINGS",2016,10,20.066
"BITTER SPRINGS",2016,11,15.494
"BITTER SPRINGS",2016,12,33.02
"BITTER SPRINGS",2016,1,1.27
"BITTER SPRINGS",2016,2,3.81
"BITTER SPRINGS",2016,3,1.778
"BLACK CREEK SG",2016,4,11.43
"BLACK CREEK SG",2016,5,25.4
"BLACK CREEK SG",2016,6,0
"BLACK CREEK SG",2016,7,49.53
"BLACK CREEK SG",2016,8,75.438
"BLACK CREEK SG",2016,9,3.302
"BLACK CREEK SG",2016,10,58.166
"BLACK CREEK SG",2016,11,56.134
"BLACK CREEK SG",2016,12,52.07
"BLACK CREEK SG",2016,1,13.716
"BLACK CREEK SG",2016,2,2.54
"BLACK CREEK SG",2016,3,1.27
"BLACK HAT WX",2016,4,17.78
"BLACK HAT WX",2016,5,35.56
"BLACK HAT WX",2016,6,0
"BLACK HAT WX",2016,7,33.02
"BLACK HAT WX",2016,8,34.29
"BLACK HAT WX",2016,9,29.21
"BLACK HAT WX",2016,10,25.4
"BLACK HAT WX",2016,11,30.48
"BLACK HAT WX",2016,12,58.42
"BLACK HAT WX",2016,1,44.958
"BLACK HAT WX",2016,2,0.762
"BLACK HAT WX",2016,3,0
"BLUE CANYON DAM",2016,4,17.78
"BLUE CANYON DAM",2016,5,36.83
"BLUE CANYON DAM",2016,6,1.27
"BLUE CANYON DAM",2016,7,38.1
"BLUE CANYON DAM",2016,8,86.36
"BLUE CANYON DAM",2016,9,45.212
"BLUE CANYON DAM",2016,10,17.78
"BLUE CANYON DAM",2016,11,15.494
"BLUE CANYON DAM",2016,12,74.93
"BLUE CANYON DAM",2016,1,41.656
"BLUE CANYON DAM",2016,2,3.81
"BLUE CANYON DAM",2016,3,3.81
"BLUFF WX",2016,4,22.86
"BLUFF WX",2016,5,11.43
"BLUFF WX",2016,6,2.54
"BLUFF WX",2016,7,6.35
"BLUFF WX",2016,8,67.31
"BLUFF WX",2016,9,13.97
"BLUFF WX",2016,10,0.762
"BLUFF WX",2016,11,17.018
"BLUFF WX",2016,12,38.1
"BLUFF WX",2016,1,11.684
"BLUFF WX",2016,2,6.858
"BLUFF WX",2016,3,5.08
"BODAWAY / GAP",2016,4,23.622
"BODAWAY / GAP",2016,5,1.778
"BODAWAY / GAP",2016,6,0
"BODAWAY / GAP",2016,7,15.24
"BODAWAY / GAP",2016,8,17.78
"BODAWAY / GAP",2016,9,21.59
"BODAWAY / GAP",2016,10,6.35
"BODAWAY / GAP",2016,11,17.78
"BODAWAY / GAP",2016,12,30.48
"BODAWAY / GAP",2016,1,2.54
"BODAWAY / GAP",2016,2,12.192
"BODAWAY / GAP",2016,3,6.35
"BOWL CANYON SC",2016,4,35.56
"BOWL CANYON SC",2016,5,35.56
"BOWL CANYON SC",2016,6,2.54
"BOWL CANYON SC",2016,7,66.04
"BOWL CANYON SC",2016,8,73.66
"BOWL CANYON SC",2016,9,33.02
"BOWL CANYON SC",2016,10,36.322
"BOWL CANYON SC",2016,11,40.64
"BOWL CANYON SC",2016,12,69.85
"BOWL CANYON SC",2016,1,48.006
"BOWL CANYON SC",2016,2,25.4
"BOWL CANYON SC",2016,3,7.62
"BOWMAN PARK",2016,4,22.86
"BOWMAN PARK",2016,5,29.972
"BOWMAN PARK",2016,6,0
"BOWMAN PARK",2016,7,40.64
"BOWMAN PARK",2016,8,68.58
"BOWMAN PARK",2016,9,15.24
"BOWMAN PARK",2016,10,43.688
"BOWMAN PARK",2016,11,57.912
"BOWMAN PARK",2016,12,78.74
"BOWMAN PARK",2016,1,20.32
"BOWMAN PARK",2016,2,2.54
"BOWMAN PARK",2016,3,0.508
"BUFFALO PASS",2016,4,45.72
"BUFFALO PASS",2016,5,29.972
"BUFFALO PASS",2016,6,2.54
"BUFFALO PASS",2016,7,38.1
"BUFFALO PASS",2016,8,68.58
"BUFFALO PASS",2016,9,20.32
"BUFFALO PASS",2016,10,22.86
"BUFFALO PASS",2016,11,54.61
"BUFFALO PASS",2016,12,33.02
"BUFFALO PASS",2016,1,48.768
"BUFFALO PASS",2016,2,22.098
"BUFFALO PASS",2016,3,27.432
"BURNHAM",2016,4,10.668
"BURNHAM",2016,5,41.91
"BURNHAM",2016,6,3.81
"BURNHAM",2016,7,6.35
"BURNHAM",2016,8,26.67
"BURNHAM",2016,9,13.97
"BURNHAM",2016,10,10.16
"BURNHAM",2016,11,15.24
"BURNHAM",2016,12,22.86
"BURNHAM",2016,1,4.318
"BURNHAM",2016,2,3.302
"BURNHAM",2016,3,2.032
"CAMERON - CHAPTER HOUSE",2016,4,37.338
"CAMERON - CHAPTER HOUSE",2016,5,0
"CAMERON - CHAPTER HOUSE",2016,6,0.762
"CAMERON - CHAPTER HOUSE",2016,7,8.89
"CAMERON - CHAPTER HOUSE",2016,8,73.66
"CAMERON - CHAPTER HOUSE",2016,9,5.588
"CAMERON - CHAPTER HOUSE",2016,10,22.86
"CAMERON - CHAPTER HOUSE",2016,11,16.002
"CAMERON - CHAPTER HOUSE",2016,12,29.718
"CAMERON - CHAPTER HOUSE",2016,1,1.27
"CAMERON - CHAPTER HOUSE",2016,2,10.16
"CAMERON - CHAPTER HOUSE",2016,3,2.54
"CAPTAIN TOM WASH SG",2016,4,29.21
"CAPTAIN TOM WASH SG",2016,5,15.24
"CAPTAIN TOM WASH SG",2016,6,2.54
"CAPTAIN TOM WASH SG",2016,7,15.24
"CAPTAIN TOM WASH SG",2016,8,63.5
"CAPTAIN TOM WASH SG",2016,9,15.24
"CAPTAIN TOM WASH SG",2016,10,10.16
"CAPTAIN TOM WASH SG",2016,11,25.4
"CAPTAIN TOM WASH SG",2016,12,68.58
"CAPTAIN TOM WASH SG",2016,1,10.922
"CAPTAIN TOM WASH SG",2016,2,11.684
"CAPTAIN TOM WASH SG",2016,3,3.81
"COALMINE ROAD",2016,4,24.13
"COALMINE ROAD",2016,5,22.86
"COALMINE ROAD",2016,6,5.08
"COALMINE ROAD",2016,7,NA
"COALMINE ROAD",2016,8,NA
"COALMINE ROAD",2016,9,44.958
"COALMINE ROAD",2016,10,17.272
"COALMINE ROAD",2016,11,24.638
"COALMINE ROAD",2016,12,60.452
"COALMINE ROAD",2016,1,13.208
"COALMINE ROAD",2016,2,4.826
"COALMINE ROAD",2016,3,8.636
"COYOTE CANYON",2016,4,54.61
"COYOTE CANYON",2016,5,11.43
"COYOTE CANYON",2016,6,0
"COYOTE CANYON",2016,7,16.51
"COYOTE CANYON",2016,8,85.09
"COYOTE CANYON",2016,9,22.86
"COYOTE CANYON",2016,10,15.24
"COYOTE CANYON",2016,11,14.478
"COYOTE CANYON",2016,12,35.56
"COYOTE CANYON",2016,1,3.302
"COYOTE CANYON",2016,2,4.318
"COYOTE CANYON",2016,3,2.54
"CRYSTAL SG",2016,4,30.48
"CRYSTAL SG",2016,5,33.02
"CRYSTAL SG",2016,6,17.78
"CRYSTAL SG",2016,7,36.83
"CRYSTAL SG",2016,8,109.728
"CRYSTAL SG",2016,9,18.542
"CRYSTAL SG",2016,10,25.4
"CRYSTAL SG",2016,11,27.94
"CRYSTAL SG",2016,12,50.8
"CRYSTAL SG",2016,1,23.876
"CRYSTAL SG",2016,2,12.7
"CRYSTAL SG",2016,3,2.54
"CRYSTAL WX",2016,4,25.4
"CRYSTAL WX",2016,5,24.13
"CRYSTAL WX",2016,6,2.54
"CRYSTAL WX",2016,7,44.45
"CRYSTAL WX",2016,8,83.82
"CRYSTAL WX",2016,9,45.72
"CRYSTAL WX",2016,10,5.08
"CRYSTAL WX",2016,11,30.48
"CRYSTAL WX",2016,12,57.658
"CRYSTAL WX",2016,1,28.448
"CRYSTAL WX",2016,2,14.732
"CRYSTAL WX",2016,3,0
"DALTON PASS",2016,4,49.53
"DALTON PASS",2016,5,1.778
"DALTON PASS",2016,6,0
"DALTON PASS",2016,7,19.812
"DALTON PASS",2016,8,40.64
"DALTON PASS",2016,9,48.26
"DALTON PASS",2016,10,12.7
"DALTON PASS",2016,11,27.94
"DALTON PASS",2016,12,23.368
"DALTON PASS",2016,1,2.54
"DALTON PASS",2016,2,5.08
"DALTON PASS",2016,3,0
"DENNEHOTSO",2016,4,22.098
"DENNEHOTSO",2016,5,3.048
"DENNEHOTSO",2016,6,0.762
"DENNEHOTSO",2016,7,11.43
"DENNEHOTSO",2016,8,57.15
"DENNEHOTSO",2016,9,23.368
"DENNEHOTSO",2016,10,3.302
"DENNEHOTSO",2016,11,5.08
"DENNEHOTSO",2016,12,27.432
"DENNEHOTSO",2016,1,6.858
"DENNEHOTSO",2016,2,2.54
"DENNEHOTSO",2016,3,0.762
"DEZA BLUFF",2016,4,33.02
"DEZA BLUFF",2016,5,53.34
"DEZA BLUFF",2016,6,20.32
"DEZA BLUFF",2016,7,66.04
"DEZA BLUFF",2016,8,81.28
"DEZA BLUFF",2016,9,43.18
"DEZA BLUFF",2016,10,50.292
"DEZA BLUFF",2016,11,24.892
"DEZA BLUFF",2016,12,61.722
"DEZA BLUFF",2016,1,37.338
"DEZA BLUFF",2016,2,18.034
"DEZA BLUFF",2016,3,5.334
"DILKON O&M",2016,4,36.83
"DILKON O&M",2016,5,0.762
"DILKON O&M",2016,6,0
"DILKON O&M",2016,7,54.61
"DILKON O&M",2016,8,26.67
"DILKON O&M",2016,9,12.7
"DILKON O&M",2016,10,18.034
"DILKON O&M",2016,11,13.208
"DILKON O&M",2016,12,34.798
"DILKON O&M",2016,1,1.27
"DILKON O&M",2016,2,7.62
"DILKON O&M",2016,3,3.048
"FLUTED ROCK SC",2016,4,50.8
"FLUTED ROCK SC",2016,5,33.02
"FLUTED ROCK SC",2016,6,0
"FLUTED ROCK SC",2016,7,33.02
"FLUTED ROCK SC",2016,8,95.758
"FLUTED ROCK SC",2016,9,41.402
"FLUTED ROCK SC",2016,10,35.56
"FLUTED ROCK SC",2016,11,29.718
"FLUTED ROCK SC",2016,12,79.502
"FLUTED ROCK SC",2016,1,31.75
"FLUTED ROCK SC",2016,2,21.59
"FLUTED ROCK SC",2016,3,2.54
"FOREST LAKE WX",2016,4,18.796
"FOREST LAKE WX",2016,5,10.16
"FOREST LAKE WX",2016,6,10.16
"FOREST LAKE WX",2016,7,34.29
"FOREST LAKE WX",2016,8,41.91
"FOREST LAKE WX",2016,9,15.24
"FOREST LAKE WX",2016,10,22.86
"FOREST LAKE WX",2016,11,12.7
"FOREST LAKE WX",2016,12,25.4
"FOREST LAKE WX",2016,1,12.192
"FOREST LAKE WX",2016,2,10.922
"FOREST LAKE WX",2016,3,0.762
"FORT DEFIANCE - WMB",2016,4,21.336
"FORT DEFIANCE - WMB",2016,5,31.242
"FORT DEFIANCE - WMB",2016,6,35.56
"FORT DEFIANCE - WMB",2016,7,30.988
"FORT DEFIANCE - WMB",2016,8,87.63
"FORT DEFIANCE - WMB",2016,9,42.418
"FORT DEFIANCE - WMB",2016,10,15.748
"FORT DEFIANCE - WMB",2016,11,13.97
"FORT DEFIANCE - WMB",2016,12,71.882
"FORT DEFIANCE - WMB",2016,1,14.986
"FORT DEFIANCE - WMB",2016,2,4.318
"FORT DEFIANCE - WMB",2016,3,4.572
"FORT WINGATE",2016,4,26.162
"FORT WINGATE",2016,5,63.5
"FORT WINGATE",2016,6,3.81
"FORT WINGATE",2016,7,26.67
"FORT WINGATE",2016,8,68.58
